5981 90937
1432 sheared 1
1433 given 19
1434 grown 6
1435 force 8
1436 revolting 2
1437 sweater 10
1438 brown 10
1439 puff 1
1440 become 8
1441 fitted 4
1442 puppet 1
1443 fit 3
1444 shrunk 1
1445 wash 2
1446 relief 9
1447 punished 4
1448 terrible 16
1449 trouble 28
1450 roof 4
1451 kitchens 4
1452 gang 5
1453 chasing 3
1454 surprise 10
1455 else's 2
1456 chimney 2
1457 received 4
1458 headmistress 2
1459 buildings 1
1460 locked 10
1461 jump 9
1462 cans 1
1463 doors 15
1464 wind 9
1465 mid 2
1466 spending 1
1467 somewhere 23
1468 smelling 1
1469 complained 5
1470 complain 5
1471 council 1
1472 bank 3
1473 subjects 2
1474 motorcycles 2
1475 roaring 3
1476 along 32
1477 maniacs 1
1478 hoodlums 1
1479 overtook 1
1480 remembering 2
1481 crashed 4
1482 seat 18
1483 gigantic 3
1484 beet 1
1485 fly 9
1486 sniggered 2
1487 wished 8
1488 talking 29
1489 shouldn't 10
1490 matter 14
1491 cartoon 1
1492 dangerous 10
1493 ideas 3
1494 sunny 2
1495 saturday 7
1496 crowded 4
1497 families 11
1498 bought 10
1499 chocolate 16
1500 ice 10
1501 creams 2
1502 entrance 10
1503 van 1
1504 hurry 12
1505 cheap 1
1506 either 23
1507 licking 3
1508 gorilla 1
1509 scratching 3
1510 remarkably 1
1511 starting 10
1512 bored 3
1513 animals 4
1514 fall 11
1515 hobby 1
1516 hitting 3
1517 ate 4
1518 restaurant 1
1519 knickerbocker 1
1520 glory 2
1521 cream 3
1522 finish 4
1523 felt 49
1524 afterward 2
1525 lunch 3
1526 reptile 3
1527 cool 3
1528 windows 10
1529 sorts 4
1530 lizards 1
1531 snakes 1
1532 crawling 2
1533 slithering 5
1534 bits 5
1535 wood 53
1536 poisonous 2
1537 cobras 1
1538 crushing 1
1539 pythons 1
1540 largest 1
1541 snake 18
1542 wrapped 7
1543 body 15
1544 vernon's 11
1545 crushed 1
1546 against 34
1547 glistening 1
1548 coils 1
1549 whined 1
1550 tapped 5
1551 budge 4
1552 ordered 3
1553 smartly 1
1554 knuckles 2
1555 snoozed 1
1556 moaned 6
1557 shuffled 4
1558 tank 3
1559 intently 1
1560 boredom 1
1561 itself 6
1562 company 2
1563 drumming 1
1564 worse 14
1565 visitor 2
1566 hammering 2
1567 visit 7
1568 raised 19
1569 level 3
1570 winked 5
1571 ceiling 20
1572 plainly 2
1573 hear 32
1574 annoying 2
1575 vigorously 2
1576 anyway 31
1577 jabbed 2
1578 boa 5
1579 constrictor 4
1580 brazil 3
1581 specimen 1
1582 bred 1
1583 you've 32
1584 deafening 3
1585 shout 4
1586 doing 34
1587 waddling 1
1588 ribs 3
1589 concrete 1
1590 leaning 5
1591 leapt 14
1592 howls 2
1593 constrictor's 1
1594 vanished 6
1595 uncoiling 1
1596 rapidly 1
1597 throughout 1
1598 screamed 13
1599 running 14
